"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-01","0.00","0.0","45","28"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-02","0.00","0.0","47","26"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-03","0.00","0.0","52","26"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-04","0.00","0.0","37","16"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-05","0.00","0.0","33","13"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-06","0.00","0.0","41","12"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-07","0.00","0.0","42","27"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-08","0.01","0.0","43","38"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-09","0.29","0.0","51","41"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-10","0.75","0.0","63","36"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-11","0.00","0.0","37","23"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-12","0.00","0.0","46","22"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-13","0.00","0.0","28","19"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-14","0.00","0.0","51","21"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-15","0.24","0.0","50","27"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","2016-01-16","0.03","0.0","55","34"
